start|hour|trips|latitude|longitude
(40.649,-73.783)|18|5678|40.649|-73.783
(40.649,-73.783)|19|7815|40.649|-73.783
(40.649,-73.783)|20|6286|40.649|-73.783
(40.649,-73.783)|21|6464|40.649|-73.783
(40.649,-73.783)|22|6104|40.649|-73.783
(40.649,-73.783)|23|6554|40.649|-73.783
(40.649,-73.784)|0|5880|40.649|-73.784
(40.649,-73.784)|1|4477|40.649|-73.784
(40.649,-73.784)|2|546|40.649|-73.784
(40.649,-73.784)|3|204|40.649|-73.784
(40.649,-73.784)|4|88|40.649|-73.784
(40.649,-73.784)|5|2917|40.649|-73.784
(40.649,-73.784)|6|4643|40.649|-73.784
(40.649,-73.784)|7|5793|40.649|-73.784
(40.649,-73.784)|8|1800|40.649|-73.784
(40.649,-73.784)|9|2622|40.649|-73.784
(40.649,-73.784)|10|3364|40.649|-73.784
(40.649,-73.784)|11|6364|40.649|-73.784
(40.649,-73.784)|12|6214|40.649|-73.784
(40.649,-73.784)|13|6787|40.649|-73.784
(40.649,-73.784)|14|8274|40.649|-73.784
(40.649,-73.784)|15|9780|40.649|-73.784
(40.649,-73.784)|16|10607|40.649|-73.784
(40.649,-73.784)|17|11976|40.649|-73.784
(40.649,-73.784)|18|10565|40.649|-73.784
(40.649,-73.784)|19|13531|40.649|-73.784
(40.649,-73.784)|20|10942|40.649|-73.784
(40.649,-73.784)|21|11997|40.649|-73.784
(40.649,-73.784)|22|11907|40.649|-73.784
(40.649,-73.784)|23|11753|40.649|-73.784
(40.649,-73.785)|0|1070|40.649|-73.785
(40.649,-73.785)|1|879|40.649|-73.785
(40.649,-73.785)|2|125|40.649|-73.785
(40.649,-73.785)|3|47|40.649|-73.785
(40.649,-73.785)|4|16|40.649|-73.785
(40.649,-73.785)|5|657|40.649|-73.785
(40.649,-73.785)|6|988|40.649|-73.785
(40.649,-73.785)|7|1216|40.649|-73.785
(40.649,-73.785)|8|368|40.649|-73.785
(40.649,-73.785)|9|451|40.649|-73.785
(40.649,-73.785)|10|655|40.649|-73.785
(40.649,-73.785)|11|1368|40.649|-73.785
(40.649,-73.785)|12|1401|40.649|-73.785
(40.649,-73.785)|13|1527|40.649|-73.785
(40.649,-73.785)|14|2006|40.649|-73.785
(40.649,-73.785)|15|2536|40.649|-73.785
(40.649,-73.785)|16|2853|40.649|-73.785
(40.649,-73.785)|17|3115|40.649|-73.785
(40.649,-73.785)|18|2591|40.649|-73.785
(40.649,-73.785)|19|2935|40.649|-73.785
(40.649,-73.785)|20|2209|40.649|-73.785
(40.649,-73.785)|21|2499|40.649|-73.785
(40.649,-73.785)|22|2398|40.649|-73.785
(40.649,-73.785)|23|2271|40.649|-73.785
(40.656,-73.794)|0|50|40.656|-73.794
(40.656,-73.794)|1|25|40.656|-73.794
(40.656,-73.794)|2|16|40.656|-73.794
(40.656,-73.794)|3|7|40.656|-73.794
(40.656,-73.794)|4|12|40.656|-73.794
(40.656,-73.794)|5|40|40.656|-73.794
(40.656,-73.794)|6|37|40.656|-73.794
(40.656,-73.794)|7|39|40.656|-73.794
(40.656,-73.794)|8|30|40.656|-73.794
(40.656,-73.794)|9|46|40.656|-73.794
(40.656,-73.794)|10|38|40.656|-73.794
(40.656,-73.794)|11|49|40.656|-73.794
(40.656,-73.794)|12|65|40.656|-73.794
(40.656,-73.794)|13|70|40.656|-73.794
